gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
ABP1,1.296637551196216,1.264582172802861,1.025348592667811,0.7380682140254589,0.111831803660607,6,0,0,0.6068038044324408,3.610057728037646
ABR,0.03873451597506723,0.04481696458574833,0.8642824504760124,0.6666879980279352,0.1855007378690061,6,0,0,0.1715392352159215,7.73363779565625
ABRA,0.868719824846128,0.878568479233883,0.9887901118460987,0.9215483691946764,0.009699000805994729,6,0,0,0.311790472442348,5.943145630932122
ABRACL,0.365564601432242,0.2170199009310325,1.6844750175626337,1,-12.48603406102143,6,0,0,0.002570137378259285,18.3207604128695
ABT1,0.7545787939091919,0.8308834326612512,0.9081644479206165,0.517489283084527,0.4188943004701287,6,0,0,0.5678298974808262,3.873083223952563
ABTB1,0.2132829178658546,0.3873151074687865,0.5506702779029681,0.00163168783930856,9.923646596640538,6,0,0,0.8532093629644948,1.970516937524735
ABTB2,0.1118412089311606,0.1704198635575818,0.6562686214883131,0.01373210689902393,6.072260994304088,6,0,0,0.01710977272929282,13.77411276380735
ACAA1,0.4377764824658709,0.5376395986359992,0.8142563969925528,0.2159930847317031,1.530795559778198,6,0,0,0.2428572946269856,6.713215513336763
ACAA2,0.7980524116694989,0.5100054143767061,1.5647920378351752,0.0003740448175888478,12.65758622025714,6,0,1,0.0002549211923887906,23.63685150882884
ACACA,0.1021582829383009,0.07757385671312889,1.3169163848084307,0.03994643482649518,4.220158256248396,6,0,0,0.02848850118769064,12.50481895650591
ACACB,0.5292150995109378,0.5027936957938823,1.05254919450678,0.3801649649192825,0.7701683890481945,6,1,1,2.560640588455954e-11,58.43297118316696
ACAD10,1.027775462219223,1.01587116308451,1.0117183158330507,0.8726869737506868,0.02567891114449594,6,3,0,0,147.7315574739623
ACAD8,0.7660072910137162,0.5809674072197225,1.3185030373382227,0.03640952363539174,4.377820590274496,6,0,0,0.8133931751950082,2.251294267647609
ACAD9,0.9012332566110941,0.7053873794218132,1.2776430127652842,0.02590806226966413,4.962144248747791,5,0,0,0.004902648670312537,14.90486827738277
ACADL,0.8817891731319941,0.5929008880134736,1.4872454923898775,0.0008464536589511962,11.13650191794659,6,1,0,8.180071811136891e-06,31.2979545067974
ACADM,0.5382893559560435,0.4815104905230421,1.117918231379186,0.4378832607832442,0.6018231376619951,6,0,0,0.02144468803609589,13.21505565338703
ACADS,0.3379864952988947,0.4125066540365328,0.8193479838241873,0.2436873372258954,1.35913564994371,6,0,0,0.09770630107309874,9.299272016511168
ACADSB,1.007786075988607,0.8512048929843757,1.183952400056405,0.1102548628621921,2.550564395885885,6,0,0,0.02890102794876659,12.46864083648325
ACADVL,0.6380969885599375,0.4826251638084125,1.3221378336858591,0.008865067237246116,6.849810553412681,6,0,0,0.04479707494873142,11.35392729294108
ACAN,1.947056723493129,1.625265637983644,1.1979929175815893,1.365259951646713e-06,23.32899939682102,6,0,1,0,186.3439722857438
ACAP1,0.332702323217185,0.3581521282485561,0.9289413547370882,0.5926737130825934,0.2861880876225769,6,0,0,0.3064857097045544,5.997259115225461
ACAP2,0.112273269628249,0.1402852754012817,0.8003211264125532,0.2752905653415241,1.190193317728699,6,0,0,0.6123757233893803,3.5729734547931
ACAP3,0.2975758339598819,0.3336425134646638,0.8919002283904035,0.3920810723084844,0.7324782393334317,6,0,0,0.04121489620332486,11.5677839415257
ACAT1,0.6678145188493104,0.4314832882844221,1.547718154982413,0.001209929766000206,10.47511928392487,6,1,1,2.344006100329921e-10,53.76348278232581
ACAT2,0.7007843054478329,0.581713201763844,1.2046903926590404,0.2728816204358953,1.202203969558468,5,0,0,0.2246943247231107,5.675907375121824
ACBD3,0.5434426431379331,0.3507897302947841,1.5491976993774996,0.01872991244614686,5.526558347468381,5,0,1,0.001775685203519339,17.18957808729829
ACBD4,1.116036842021046,1.593278722921179,0.7004655406273554,0.001603763664351443,9.955421930211742,6,0,0,0.2405087017797305,6.742466247102129
ACBD5,0.6447344603502572,0.6982492922271778,0.9233585590810605,0.4713296059072456,0.5188571287653758,6,0,0,0.1621214161354987,7.89494198072498
ACBD6,0.4615315186593184,0.4657076111708774,0.9910328016734373,0.9586178967266026,0.00269236966050812,6,0,0,0.3723574339965497,5.370478646114861
ACBD7,1.417455589211213,0.6488415416244706,2.1845943859611756,0.0007526983148405941,11.35439019006571,5,0,1,0.05920453712535889,9.076953152411079
